appid,name,developer,release_date,genre,genre_code,price,total_reviews,positive_ratio,avg_playtime_mins,peak_players,metacritic_score,developer_bio,platforms
100001,Lone Siege,RedKite,26/12/2021,Action,1,43.3262,0,89.73,900,253,NA,NA,1
100002,Hollow Solstice Redux,ThunderByte,25/06/2023,Simulation,4,0,373,86.1,1143,179,75,Our mission: games that matter.,2
100003,Stellar Dynasty III,CrystalDawn,14/06/2024,Action,1,51.5145,0,85.57,191,467,58.9,Passionate about narrative-driven experiences.,2
100004,Radiant Genesis,RedKite,22/04/2022,Action,1,56.1467,1699,96.4,909,126,68,NA,3
100005,Rogue Bastion,Moonlight Games,06/11/2020,Strategy,3,50.0344,562,81.73,470,462,71,Focused on player agency and emergent gameplay.,1
100006,Savage Abyss,ThunderByte,18/03/2020,Action,1,55.2075,812,76.27,912,289,68.8,NA,2
100007,Savage Siege,RedKite,19/10/2019,Action,1,62.7649,966,93.03,652,318,96.7,Veterans from AAA studios going indie.,1
100008,Twisted Paragon,SilverLeaf,02/12/2024,RPG,2,55.182,0,90.94,495,48,NA,We make games that push boundaries.,1
100009,Grand Solstice,RedKite,09/11/2023,RPG,2,54.1031,293,60.8,1068,203,85.3,Three friends who quit their jobs to make games.,1
100010,Radiant Harbinger Origins,IronGate Studios,17/12/2019,Simulation,4,61.381,435,85.12,279,228,98.9,Award-winning indie studio based in Melbourne.,1
100011,Mystic Revenant,PixelForge,22/06/2023,Simulation,4,51.8121,747,60.43,210,88,96.8,Passionate about narrative-driven experiences.,3
100012,Iron Crusade Redux,Moonlight Games,30/12/2018,Puzzle,5,36.4043,948,56.09,936,181,65.1,Our mission: games that matter.,3
100013,Burning Wanderer II,PixelForge,21/06/2018,Strategy,3,40.2903,461,97.38,837,351,NA,NA,2
100014,Broken Fortress,RedKite,12/03/2023,Action,1,52.0487,465,99.18,422,752,NA,"Small team, big dreams. Making games since 2015.",3
100015,Rogue Cipher,Neon Arc,07/04/2019,Strategy,3,53.4079,416,56.32,452,234,56.7,NA,2
100016,Storm Siege Reborn,ThunderByte,14/03/2020,Simulation,4,50.6601,135,82.9,581,79,40.3,Our mission: games that matter.,1
100017,Iron Harbinger,IronGate Studios,21/05/2018,Puzzle,5,44.5483,0,63.54,578,209,40.2,NA,2
100018,Lone Realm II,Moonlight Games,01/07/2020,RPG,2,65.7823,589,90.66,358,325,52,NA,2
100019,Noble Ascension,RedKite,22/09/2021,Action,1,60.1668,624,87.01,969,147,85.6,Veterans from AAA studios going indie.,1
100020,Crimson Legends III,PixelForge,12/07/2021,Simulation,4,41.5581,546,52.21,462,263,NA,Passionate about narrative-driven experiences.,2
100021,Storm Protocol,IronGate Studios,17/03/2022,RPG,2,0,278,52,759,260,56.2,NA,2
100022,Primal Harbinger,CrystalDawn,26/11/2023,Puzzle,5,0,778,60.94,786,178,79.9,Our mission: games that matter.,1
100023,Infinite Legends Reborn,CrystalDawn,25/06/2020,Puzzle,5,43.4571,0,76.09,660,278,NA,NA,3
